plot_id;tree_id;measure_id;dbh_cm;height_h;drainage_texture_class;potential_vegetation;climatic_domain;ratio_dbh_meandbh;precipitation;temperature;basal_area_m2ha;nb_trees_ha;height_minus_1_3;log_dbh;log_dbh2
602711602;17;1;12;15.4;2;FE3;3OUEST;0.5451912238;935.8524;4.0326;22.83;600;14.1;2.5649493575;6.5789652063
602712204;11;1;12.9;14.5;2;FE5;2OUEST;0.6713688394;938.0973;3.9454;15.948125;550;13.2;2.6318888401;6.9268388668
602712903;19;1;14.4;12.1;2;MJ1;2OUEST;0.956810391;914.7318;4.3215;16.9;950;10.8;2.7343675094;7.4767656766
602713101;11;1;25.2;19.8;2;FE5;2OUEST;1.1388778347;922.0794;4.2171;20.188125;525;18.5;3.2657594108;10.665184529
602713102;17;1;12.6;13.1;2;FE6;2OUEST;0.4854867571;920.5014;4.2386;39.676875;750;11.8;2.6100697927;6.812464323
602713502;20;1;13.4;18.9;5;FE3;2OUEST;0.6151672404;916.8032;4.279;36.334375;975;17.6;2.6672282066;7.114106306
602714002;12;1;13.8;18.5;2;FE3;3OUEST;0.8284342482;922.5836;4.2061;13.07625;600;17.2;2.6946271808;7.2610156433
602714501;18;1;10.8;12;2;FE6;2OUEST;0.5329196794;917.941;4.3012;25.805;800;10.7;2.4680995315;6.0915152973
602714504;23;1;16.5;17.8;2;FE6;2OUEST;0.9067157157;920.9774;4.2319;30.56;1175;16.5;2.8622008809;8.1921938828
602714505;16;1;20.8;15.8;2;FE3;2OUEST;1.1084830154;920.9533;4.2318;21.431875;775;14.5;3.0819099698;9.4981690619
602714801;4;1;12.9;15.3;2;FE2;2OUEST;0.6442984888;926.2028;4.4339;6.296875;200;14;2.6318888401;6.9268388668
602714801;6;1;17.2;13.8;2;FE2;2OUEST;0.8590646518;926.2028;4.4339;6.296875;200;12.5;2.9014215941;8.4182472666
602714802;5;1;17.7;14.3;2;FE2;2OUEST;0.7475043557;924.4226;4.4926;9.908125;225;13;2.9285235239;8.5762500298
602715503;17;1;22.6;20.1;1;FE5;2OUEST;1.1082336919;938.7079;4.4895;25.313125;775;18.8;3.161246712;9.9934807743
602715801;10;1;32.4;23.1;2;FE5;2OUEST;1.3610986844;939.7488;4.4883;20.026875;450;21.8;3.5085559;12.309964503
